collectTime,deviceSn,deviceType,name,value,unit,key
2025-06-18 08:43:24,SQ1021080KE22B300010,INVERTER,DC Power PV1,2790.00,W,DP1
2025-06-18 08:43:24,SQ1021080KE22B300010,INVERTER,DC Power PV2,2910.00,W,DP2
2025-06-18 08:43:24,SQ1021080KE22B300010,INVERTER,DC Power PV3,0.00,W,DP3
2025-06-18 08:43:24,SQ1021080KE22B300010,INVERTER,DC Power PV4,2840.00,W,DP4
2025-06-18 08:43:24,SQ1021080KE22B300010,INVERTER,DC Power PV5,3050.00,W,DP5
2025-06-18 08:43:24,SQ1021080KE22B300010,INVERTER,DC Power PV6,2840.00,W,DP6
2025-06-18 08:43:24,SQ1021080KE22B300010,INVERTER,Total Power Generation,14430.0,W,TPG
2025-06-18 08:43:24,SQ1021080KE22B300010,INVERTER,Total DC Input Power,13900.00,W,DPi_t1
2025-06-18 08:43:24,SQ1021080KE22B300010,INVERTER,AC Voltage R/U/A,249.60,V,AV1
2025-06-18 08:43:24,SQ1021080KE22B300010,INVERTER,AC Voltage S/V/B,252.50,V,AV2
